id,season,occasion,gender,style,outfit_description
1,,wedding,,,"When attending a wedding, you should wear light and elegant. Avoid all white as it is reserved for the bride, and avoid all black for an Asian wedding as it is considered inappropriate.  An example outfit can be a sheer light pink dress with pearl earrings and nude heels for women, while men can wear a navy blue suit with a crisp white shirt and brown leather shoes."
2,,business,,,"For a business meeting, you should wear polished and professional. Avoid overly casual attire like jeans, sneakers, or flashy accessories. Stick to neutral or dark colors like navy, black, or gray. A well-fitted blazer paired with a white button-down shirt and tailored trousers is ideal for both men and women. Women can opt for closed-toe heels, while men should wear formal dress shoes. Keep accessories minimal to maintain a refined look."
3,,fine dining,,,"When dining at a fine restaurant, you should wear something sophisticated and stylish. Avoid overly casual clothing like t-shirts, sneakers, or distressed jeans. Stick to elegant evening wear—women can opt for a knee-length cocktail dress with statement jewelry and heels. Men should wear a tailored suit or a smart blazer with dress pants and leather shoes. Dark, solid colors or subtle patterns are best. Accessories should be understated, and avoid heavy fragrances."
4,,music festival,,,"For a music festival, you should wear something trendy and comfortable that allows for movement. Avoid heavy fabrics, high heels, or tight-fitting clothing that restricts mobility. Opt for breathable, lightweight outfits—women can wear a bohemian crop top with high-waisted denim shorts and ankle boots, while men can choose a relaxed graphic tee with cargo shorts and sneakers. Layer with a light jacket for unpredictable weather, and accessorize with sunglasses and a crossbody bag."
5,,date,,,"For a date, you should wear something stylish yet comfortable that reflects your personality. Avoid overly casual or overly formal attire—find a balance based on the date location. A fitted dress with a soft cardigan and elegant flats or heels works well for women. Men can opt for a button-up shirt with well-fitted jeans and loafers. Stick to warm, romantic colors like red, burgundy, or soft pastels, and keep accessories subtle and refined."
6,Spring,wedding,female,semi-formal,"Women, 20s, wedding, France, spring, semi-formal: A blush pink floral midi dress with nude pumps and a pearl necklace. Light and romantic for a Parisian spring wedding."
7,Summer,wedding,male,casual,"Men, 40s, wedding, Italy, summer, casual: A linen beige suit with a light blue dress shirt and loafers. Ideal for a relaxed summer wedding on the Amalfi Coast."
8,Autumn,wedding,female,formal,"Women, 50s, wedding, UK, autumn, formal: A deep burgundy A-line dress with a matching shawl, gold accessories, and heeled ankle boots. Elegant yet warm for an autumn ceremony."
9,Winter,wedding,male,formal,"Men, 30s, wedding, Japan, winter, formal: A deep blue wool coat over black dress pants, finished with brown leather boots. Perfect for a winter wedding in Japan."
10,Spring,business,female,formal,"Women, 40s, business meeting, Germany, spring, formal: A tailored light gray blazer with a pastel blouse and navy straight-leg pants. Sophisticated yet fresh for spring."
11,Summer,business,male,semi-formal,"Men, 50s, business meeting, USA, summer, semi-formal: A breathable cotton light blue dress shirt with khaki trousers and brown leather loafers. Professional yet cool in warm weather."
12,Autumn,business,female,smart casual,"Women, 30s, business meeting, UK, autumn, smart casual: A burgundy sweater tucked into a high-waisted black pencil skirt with ankle boots. Balanced style for cooler temperatures."
13,Winter,business,male,formal,"Men, 30s, business meeting, Canada, winter, formal: A navy wool blazer over a white shirt and charcoal gray dress pants with black Oxford shoes. Stay warm and professional."
14,Spring,fine dining,male,semi-formal,"Men, 40s, fine dining, France, spring, semi-formal: A navy dress shirt with white dress pants and polished leather shoes. Effortlessly chic for a Parisian evening."
15,Summer,fine dining,female,stylish,"Women, 20s, fine dining, Spain, summer, stylish: A satin slip dress in coral with strappy gold heels and a clutch bag. Light and trendy for warm nights."
16,Autumn,fine dining,male,smart casual,"Men, 30s, fine dining, Japan, autumn, smart casual: A beige blazer over a black turtleneck with dark wash jeans and Chelsea boots. Perfect blend of comfort and refinement."
17,Winter,fine dining,female,formal,"Women, 50s, fine dining, Russia, winter, elegant: A deep green velvet gown with pearl earrings, black suede gloves, and stiletto heels. Luxurious warmth for a winter night."
18,Spring,music festival,male,trendy,"Men, 30s, music festival, USA, spring, trendy: A denim jacket over a graphic tee with ripped skinny jeans and white sneakers. Classic rock festival vibes."
19,Summer,music festival,female,bohemian,"Women, 20s, music festival, Australia, summer, bohemian: A crochet crop top with high-waisted denim shorts, a fringe crossbody bag, and gladiator sandals. Light and free-spirited."
20,Autumn,music festival,male,casual,"Men, 40s, music festival, UK, autumn, casual: A plaid flannel shirt layered over a plain black tee with combat boots and a beanie. Cozy yet stylish."
21,Winter,music festival,female,casual,"Women, 20s, music festival, Canada, winter, casual: A black faux-fur-lined parka with thermal leggings, knee-high boots, and fingerless gloves. Stylish and warm for an outdoor concert."
22,Spring,date,male,casual,"Men, 20s, date, Italy, spring, casual: A pastel button-down shirt with slim-fit chinos and loafers. A simple yet stylish look for a spring stroll."
23,Summer,date,female,elegant,"Women, 40s, date, Greece, summer, elegant: A flowy white maxi dress with gold sandals and statement earrings. Romantic and breezy for a sunset dinner."
24,Autumn,date,male,casual,"Men, 30s, date, UK, autumn, casual: A fitted leather jacket over a dark green henley with black jeans and Chelsea boots. A confident and sleek look."
25,Winter,date,female,chic,"Women, 30s, date, New York, winter, chic: A fitted red wool dress with thigh-high suede boots and a cozy faux-fur coat. Warm yet chic."
